10000000,3622 Cherry Birch Street,Marysville,Washington,48.0517637,-122.1770818
10000001,63 Coconut Road,Perris,California,33.7825194,-117.2286478
10000002,5220 Yarrow Way,Cleveland,Ohio,41.49932,-81.6943605
10000003,1389 Indian Posy Avenue,Worcester,Massachusetts,42.262593200000005,-71.8022934
10000004,1056 Garden Nightshade Lane,Columbia,South Carolina,34.0007104,-81.0348144
10000005,6001 Gordaldo Street,Waterbury,Connecticut,41.558152500000006,-73.0514965
10000006,6722 Pepper Root Road,Eagan,Minnesota,44.804132200000005,-93.1668858
10000007,1782 Nodding Thistle Way,Southfield,Michigan,42.4733688,-83.2218731
10000008,6447 Shad Blow Avenue,Lafayette,Louisiana,30.2240897,-92.0198427
10000009,7847 Cork Oak Lane,Boise City,Idaho,43.6187102,-116.2146068
10000010,5728 Swamp Cabbage Street,Elkhart,Indiana,41.6819935,-85.9766671
10000011,8983 Broadleaf Road,Buena Park,California,33.8675143,-117.9981181
10000012,333 Thimbleberry Way,Marietta,Georgia,33.952602,-84.5499327
10000013,8812 Asian Rice Avenue,Parker,Colorado,39.5186002,-104.7613633
10000014,8471 Spotted Oak Lane,West Palm Beach,Florida,26.7153424,-80.0533746
10000015,1492 Onion Street,Salem,Massachusetts,42.51954,-70.8967155
10000016,9550 Viola Species Road,Aurora,Illinois,41.7605849,-88.3200715
10000017,9094 Osier Salix Way,Leesburg,Virginia,39.1156615,-77.5636015
10000018,3041 Sunflower Avenue,Doral,Florida,25.8195424,-80.3553302
10000019,4219 Pudina Lane,Westminster,California,33.7513419,-117.9939921
10000020,562 Western Trillium Street,Lubbock,Texas,33.5778631,-101.8551665
10000021,2236 Coast Live Oak Road,Overland Park,Kansas,38.9822282,-94.6707917
10000022,8976 Wayside Plantain Way,Jackson,Mississippi,32.298757300000005,-90.1848103
10000023,4885 Yellow Milkweed Avenue,Gastonia,North Carolina,35.262082,-81.1873005
10000024,2643 Blueberry Lane,Daytona Beach,Florida,29.2108147,-81.02283309999999
10000025,3200 Banana Street,Kansas City,Missouri,39.0997265,-94.5785667
10000026,4934 Wineberry Road,Rancho Palos Verdes,California,33.7444613,-118.3870173
10000027,9923 Petty Morel Way,Burnsville,Minnesota,44.7677424,-93.2777226
10000028,4114 Kousa Dogwood Avenue,Rowlett,Texas,32.9029017,-96.56388
10000029,7103 Brittle Bush Lane,Roswell,New Mexico,33.3942655,-104.5230242
10000030,6885 Black Cap Street,Montgomery,Alabama,32.366805199999995,-86.2999689
10000031,8998 Kudzu Road,Logan,Utah,41.7369803,-111.8338359
10000032,4100 Rheumatism Root Way,Woburn,Massachusetts,42.4792618,-71.1522765
10000033,5533 Land Cress Avenue,Allentown,Pennsylvania,40.6084305,-75.4901833
10000034,8195 Coakum Lane,Mount Pleasant,South Carolina,32.8323225,-79.82842579999999
10000035,8411 Hen Plant Street,Columbus,Georgia,32.4609764,-84.9877094
10000036,2932 Mirbecks Oak Road,Buffalo,New York,42.8864468,-78.8783689
10000037,6485 Mesquite Way,New Berlin,Wisconsin,42.9764027,-88.10842240000001
10000038,1509 Virginia Silk Weed Avenue,North Richland Hills,Texas,32.8342952,-97.2289029
10000039,6205 Earth Gall Lane,Lima,Ohio,40.742551,-84.1052256
10000040,8427 Polecat Weed Street,Sacramento,California,38.5815719,-121.4943996
